#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-29T23:08:58 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-29T23:08:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAJ%2F152%2F50&-out.all&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AJ_152_50_table2:
#Name: J/AJ/152/50/table2
#Title: Summary group properties
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Nest	(I6)	[100001/400002]? 2MASS "nest" group identification (Tully 2015, Cat. J/AJ/149/171)	[ucd=meta.id]
#Column	o_<DM>	(I3)	[1/161] Number of galaxies in group with distance measures (N_d_^gp^)	[ucd=meta.number]
#Column	<DM>	(F5.2)	[18.4/38.5] Weighted average group distance modulus (<{mu}>^gp^)	[ucd=phot.mag.distMod]
#Column	e_<DM>	(F5.2)	[0.02/0.54] One standard deviation uncertainty in <DM> ({epsilon}_{mu}_^gp^)	[ucd=stat.error]
#Column	<Dist>	(F5.1)	[0/494.3] Luminosity distance to group; weighted average of distance moduli	[ucd=pos.distance;pos.heliocentric]
#Column	Abell	(A5)	Abell Cluster identification (ASxxx are from the southern supplement list)	[ucd=meta.id]
#Column	GName	(a9)	Alternative name for group or cluster	[ucd=meta.id]
#Column	Npv	(I3)	[1/197] Number of galaxies in group with positions and velocities in the 2MRS catalog (Huchra et al. 2012, Cat. J/ApJS/199/26) (N_v_)	[ucd=meta.number]
#Column	PGC1	(I7)	[14/9003164] Principal Galaxies Catalog identifier of brightest group member	[ucd=meta.id.assoc]
#Column	GLON	(F6.2)	Group Galactic longitude (Glon^gp^)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Group Galactic latitude (Glat^gp^)	[ucd=pos.galactic.lat]
#Column	SGLON	(F8.4)	Group Supergalactic longitude (SGL^gp^) (G1)	[ucd=pos.supergalactic.lon]
#Column	SGLAT	(F8.4)	Group Supergalactic latitude (SGB^gp^) (G1)	[ucd=pos.supergalactic.lat]
#Column	logLKs	(F5.2)	[0/14.43] Log summed Ks luminosity of group (LogL^gp^) (G2)	[ucd=phys.luminosity;em.IR.K]
#Column	CF	(F6.2)	[0/118.1] Luminosity selection function correction factor (cf)	[ucd=arith.factor]
#Column	sigP	(I4)	[0/2303] Projected velocity dispersion ({sigma}_p_) (G3)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F7.4)	[0/84] Projected second turnaround radius (R_2t_) (G4)	[ucd=phys.size.radius]
#Column	<HV>	(I5)	[-376/29980] Group heliocentric velocity (V_h_^gp^)	[ucd=phys.veloc;pos.heliocentric]
#Column	<Vgsr>	(I5)	[-189/29883] Group velocity in Galactic standard of rest (V_gsr_^gp^) (G5)	[ucd=phys.veloc;pos.galactocentric]
#Column	<Vls>	(I5)	[-158/29882] Group velocity in Local Sheet standard of rest (Tully et al. 2008, Cat. J/ApJ/676/184) (V_ls_^gp^)	[ucd=phys.veloc;pos.lsr]
#Column	<Vcmb>	(I5)	[-669/29820] Group velocity in CMB standard of rest (Fixsen et al. 1996ApJ...473..576F) (V_cmb_^gp^)	[ucd=phys.veloc;pos.cmb]
#Column	<Vcmba>	(I5)	[-668/32110] Group velocity in CMB standard of rest, adjusted (V_mod_^gp^) (G6)	[ucd=phys.veloc;pos.cmb]
#Column	sigma	(I4)	[0/2401]? RMS group velocity dispersion (V_rms_)	[ucd=stat.stdev;phys.veloc.dispersion;pos.lg]
#Column	Mvir	(F9.3)	[0/29467] Group mass from virial theorem (M_12_^bw^) (G7)	[ucd=phys.mass]
#Column	Mlum	(F10.4)	[0/24401] Group mass from luminosity (M_12_^L^) (G8)	[ucd=phys.mass]
#Column	LDC	(I4)	[3/1538]? Low density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	HDC	(I4)	[2/1258]? High density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	2M++	(I4)	[0/4715]? Group identifier from 2MASS++ catalog (Lavaux & Hudson 2011, Cat. J/MNRAS/416/2840)	[ucd=meta.id]
#Column	MK2011	(I7)	[0/5067059] Group identifier from MK2011 catalog (Makarov & Karachentsev 2011, Cat. J/MNRAS/412/2498) (M&K)	[ucd=meta.id;meta.main]
#Column	Icnt	(I4)	[0/2941]? Internal reference identifier	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Nest	o_<DM>	<DM>	e_<DM>	<Dist>	Abell	GName	Npv	PGC1	GLON	GLAT	SGLON	SGLAT	logLKs	CF	sigP	R2t	<HV>	<Vgsr>	<Vls>	<Vcmb>	<Vcmba>	sigma	Mvir	Mlum	LDC	HDC	2M++	MK2011	Icnt	Simbad	_RA.icrs	_DE.icrs
 	 	 	mag	mag	Mpc	 	 	 	 	deg	deg	deg	deg	[Lsun]	 	km/s	Mpc	km/s	km/s	km/s	km/s	km/s	km/s	TMsun	TMsun	 	 	 	 	 	 	deg	deg
--------	------	---	-----	-----	-----	-----	---------	---	-------	------	------	--------	--------	-----	------	----	-------	-----	-----	-----	-----	-----	----	---------	----------	----	----	----	-------	----	------	--------	--------
       1	100002	161	31.01	 0.02	 15.9	     	Virgo    	197	  41220	284.09	+74.41	103.0008	 -2.3248	12.94	  1.00	 707	 1.9200	 1156	 1098	 1064	 1485	 1491	 670	  934.667	  705.3330	 852	 716	    	5066891	   1	Simbad	187.7631	+12.2888
       2	200009	113	36.33	 0.04	184.4	A3716	         	 52	  66047	345.81	-39.39	224.6483	 17.2124	14.21	  9.90	1950	 5.2950	14072	14028	13998	13924	14434	 916	 4746.667	14800.0010	    	    	3385	      0	2834	Simbad	313.0980	-52.5047
       3	100010	112	36.45	 0.04	194.7	A3558	         	 55	  47202	312.07	+30.45	149.1678	 -1.3439	14.18	  7.95	1908	 5.1800	14414	14263	14192	14697	15265	1002	 4946.667	13866.6670	    	    	2182	      0	2551	Simbad	202.1259	-31.7632
       4	100001	106	34.92	 0.04	 96.5	A1656	Coma     	136	  44715	058.99	+88.14	 89.6226	  8.1461	13.40	  1.65	1045	 2.8390	 6926	 6940	 6926	 7195	 7331	 886	 2120.000	 2280.0000	 890	 734	1952	      0	2493	Simbad	194.7508	+27.9326
       5	100007	 99	35.86	 0.04	148.7	A2147	         	 86	  56962	030.43	+44.46	108.5182	 49.0878	13.77	  3.30	1385	 3.7610	11180	11283	11273	11270	11603	1261	 7080.000	 5306.6670	    	    	2138	      0	2652	Simbad	241.0588	+16.9566
       6	100006	 69	33.67	 0.05	 54.3	A1060	Hydra    	 85	  31478	269.60	+26.41	139.4478	-37.6063	12.73	  1.14	 588	 1.5970	 3712	 3490	 3424	 4055	 4099	 648	  585.333	  406.6670	 712	 592	1122	5066799	 487	Simbad	159.1286	-27.5914
       7	100003	 66	33.04	 0.04	 40.5	A3526	Centaurus	113	  43296	302.20	+21.74	156.2336	-11.5868	13.00	  1.12	 746	 2.0270	 3550	 3361	 3285	 3834	 3873	 822	 1440.000	  830.6670	 881	 722	1107	5066908	 441	Simbad	191.9569	-41.1266
       8	200015	 65	31.36	 0.03	 18.7	     	Fornax   	 49	  12651	236.82	-54.80	262.8089	-40.9336	12.33	  1.00	 414	 1.1230	 1457	 1326	 1319	 1357	 1362	 301	  107.333	  141.3330	 391	 235	   2	5066701	 843	Simbad	053.1900	-35.4753
       9	100004	 62	35.47	 0.06	124.3	A2199	         	 81	  58265	063.86	+43.84	 71.5103	 49.7851	13.41	  2.26	1057	 2.8710	 9177	 9348	 9369	 9202	 9424	 740	 1880.000	 2360.0000	1134	 936	1858	      0	2642	Simbad	246.9880	+40.2228
      10	200007	 61	35.83	 0.06	146.9	A0496	         	 54	  15524	209.07	-36.70	296.2707	-55.3232	13.28	  2.37	 954	 2.5910	 9904	 9794	 9803	 9851	10106	 529	  914.667	 1733.3330	 307	 294	3653	      0	2181	Simbad	068.0344	-12.9704
      11	100008	 49	31.10	 0.04	 16.6	     	UrsaMajor	 56	  37617	145.77	+66.08	 66.3257	  2.3928	12.05	  1.00	 324	 0.8800	  908	  968	  982	 1114	 1117	 140	   73.467	   67.8670	 852	 699	    	5066850	 102	Simbad	179.1103	+48.5373
      12	200016	 48	35.49	 0.06	125.2	A2634	         	 36	  71985	103.70	-33.26	319.4263	 23.6029	13.10	  2.28	 816	 2.2170	 9413	 9611	 9680	 9066	 9282	 663	  650.667	 1086.6670	1523	1243	3850	      0	2935	Simbad	354.8677	+26.9099
      13	200001	 44	34.14	 0.06	 67.4	A0426	Perseus  	180	  12429	150.36	-13.41	347.7159	-14.0594	13.25	  1.24	 931	 2.5290	 5370	 5480	 5547	 5209	 5281	 962	 2173.333	 1613.3330	 229	 214	    	      0	2121	Simbad	049.6072	+41.5028
      14	100040	 43	36.42	 0.07	192.2	A1644	         	 17	  44257	304.69	+45.18	133.6096	 -4.3440	13.63	  7.13	1243	 3.3760	14011	13875	13811	14339	14880	 739	 1826.667	 3840.0000	 852	    	2781	      0	   0	Simbad	194.1600	-17.6740
      15	200043	 40	36.30	 0.06	182.4	A0119	         	 18	   3342	125.82	-63.94	295.5067	 -0.6583	13.44	  4.83	1077	 2.9240	13152	13232	13279	12822	13254	 785	  770.667	 2493.3330	    	    	3134	      0	2022	Simbad	014.1280	-01.0967
      16	200030	 38	36.71	 0.08	219.3	     	         	 22	3099295	324.51	-11.47	192.2449	  5.6887	14.07	  8.71	1747	 4.7440	14606	14471	14407	14671	15237	1610	10106.667	10653.3330	    	    	4254	      0	   0	Simbad	249.3572	-64.3906
      17	100021	 38	35.79	 0.07	144.0	A1736	         	 26	  47071	313.24	+34.55	145.2401	  0.1980	13.24	  2.97	 924	 2.5080	10460	10319	10250	10750	11053	 690	 1274.667	 1573.3330	 935	 782	1889	      0	2541	Simbad	202.4286	-27.5544
      18	200031	 37	35.28	 0.07	113.8	A4038	         	 22	  72441	024.82	-76.17	264.7112	  6.4631	12.81	  2.03	 632	 1.7160	 8523	 8543	 8556	 8224	 8401	 449	  313.333	  504.0000	1532	1248	3333	      0	2941	Simbad	357.2808	-28.2152
      19	200003	 37	34.12	 0.06	 66.8	A0262	         	 63	   6962	136.65	-25.08	334.9977	 -2.0249	12.70	  1.19	 573	 1.5560	 4884	 5029	 5101	 4630	 4687	 520	  376.000	  376.0000	 127	 103	4351	      0	2044	Simbad	028.2842	+36.1428
      20	200103	 36	36.14	 0.08	169.1	A2593	         	 11	  71343	093.62	-43.32	305.4873	 25.1163	13.06	  4.41	 788	 2.1400	12670	12846	12907	12303	12700	 624	  902.667	  977.3330	    	    	    	      0	2934	Simbad	351.2654	+14.5815
      21	200017	 36	35.29	 0.07	114.1	A0539	         	 43	  75312	195.75	-17.62	337.0636	-57.1412	13.04	  1.93	 774	 2.1030	 8709	 8632	 8653	 8712	 8911	 754	  996.000	  926.6670	 380	 346	    	      0	2211	Simbad	079.2609	+06.4621
      22	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.3880	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.6670	  95	  78	3814	      0	2061	Simbad	021.7253	-01.5023
