glon,glat,dist_mpc,theta_D
284.09,74.41,15.9,50.6096328832707
345.81,-39.39,184.4,74.81395547435758
312.07,30.45,194.7,8.294817045426013
58.99,88.14,96.5,65.76780176300801
30.43,44.46,148.7,69.66264651895892
269.6,26.41,54.3,31.828256865899274
302.2,21.74,40.5,4.151027285982294
236.82,-54.8,18.7,98.69410821081897
63.86,43.84,124.3,91.30624431948083
209.07,-36.7,146.9,109.12562672618107
145.77,66.08,16.6,87.55101071600964
103.7,-33.26,125.2,159.6950244817513
150.36,-13.41,67.4,153.46411801397971
304.69,45.18,192.2,20.18155297214821
125.82,-63.94,182.4,141.05628302578677
324.51,-11.47,219.3,41.13426180713744
313.24,34.55,144.0,11.920536167748915
24.82,-76.17,113.8,111.84370992109412
136.65,-25.08,66.8,169.4479203016137
93.62,-43.32,169.1,148.52538977497062
195.75,-17.62,114.1,114.37522493099294
142.77,-63.0,69.4,140.20863196748988
230.27,-24.92,168.8,87.799402019083
316.4,28.45,160.3,10.745002594081745
127.31,-30.01,60.7,174.58768758225034
170.03,-44.92,92.9,138.76107164054451
12.74,49.67,142.7,57.01862253049581
319.41,26.74,55.9,13.074828767732992
234.22,73.06,88.4,60.57971196317121
303.22,47.65,195.4,22.693792070049103
252.2,-25.99,173.0,72.1009190077347
293.91,-70.57,102.9,95.8941913835535
213.94,-34.91,152.9,104.80966991303224
317.11,30.81,62.0,12.16602990843716
345.63,-34.33,201.9,70.7513427467812
240.3,-22.63,150.9,78.76209712729535
130.71,-28.8,64.1,173.64792267711923
251.61,52.92,170.5,48.46786340740004
34.65,-35.25,120.6,103.85059575645195
87.34,-48.45,46.7,142.38805835720146
107.66,74.49,4.9,79.86956419242233
242.8,42.87,184.3,53.3223752722246
259.72,-17.89,180.3,61.50658647366332
307.91,17.07,3.9,8.381215919610625
313.55,26.49,218.0,7.8424200899307595
264.01,-24.99,213.2,63.79916524559258
230.44,-25.88,154.2,88.13071741768927
282.33,67.21,33.0,44.47434156527969
142.14,40.93,3.7,112.17532984094318
19.13,59.95,190.2,60.66478556604546
229.17,-63.77,105.4,106.32237954150078
332.38,-23.26,57.2,55.07699163408821
