#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-29T23:06:33 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-29T23:06:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAJ%2F152%2F50&-out=GLON,GLAT,Dist,e_Dist&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AJ_152_50_table2:
#Name: J/AJ/152/50/table2
#Title: Summary group properties
#Column	GLON	(F6.2)	Group Galactic longitude (Glon^gp^)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Group Galactic latitude (Glat^gp^)	[ucd=pos.galactic.lat]
GLON	GLAT
deg	deg
------	------
284.09	+74.41
345.81	-39.39
312.07	+30.45
058.99	+88.14
030.43	+44.46
269.60	+26.41
302.20	+21.74
236.82	-54.80
063.86	+43.84
209.07	-36.70
145.77	+66.08
103.70	-33.26
150.36	-13.41
304.69	+45.18
125.82	-63.94
324.51	-11.47
313.24	+34.55
024.82	-76.17
136.65	-25.08
093.62	-43.32
195.75	-17.62
142.77	-63.00
230.27	-24.92
316.40	+28.45
127.31	-30.01
170.03	-44.92
012.74	+49.67
319.41	+26.74
234.22	+73.06
303.22	+47.65
252.20	-25.99
293.91	-70.57
213.94	-34.91
317.11	+30.81
345.63	-34.33
240.30	-22.63
130.71	-28.80
251.61	+52.92
034.65	-35.25
087.34	-48.45
107.66	+74.49
242.80	+42.87
259.72	-17.89
307.91	+17.07
313.55	+26.49
264.01	-24.99
230.44	-25.88
282.33	+67.21
142.14	+40.93
019.13	+59.95
229.17	-63.77
332.38	-23.26
312.53	+35.05
137.01	-28.21
274.71	-27.48
272.43	+19.13
299.09	+51.76
254.78	-30.46
008.78	+51.35
135.66	-62.00
218.45	-52.38
265.27	-22.39
094.77	-40.89
021.19	-40.13
187.11	+69.46
006.23	+49.10
049.12	+35.80
027.83	+75.97
283.68	+69.66
284.13	+12.18
222.97	-33.74
096.23	-50.43
217.54	-33.52
195.80	-58.42
140.96	-17.18
303.99	+49.38
303.44	+53.62
319.55	+32.99
245.88	-26.15
357.78	-39.84
156.24	-69.06
246.47	-30.31
009.67	+50.10
253.76	+31.00
320.56	-65.19
314.20	+23.33
227.70	-30.39
252.50	+28.85
150.47	-34.41
240.33	-26.56
161.84	-37.20
325.94	+31.65
349.76	+65.52
280.63	+11.16
202.57	+28.61
300.19	+52.82
149.82	-75.48
241.86	-46.13
308.87	+29.09
325.63	-17.40
356.24	-75.69
267.48	-29.45
313.34	+37.28
017.29	-39.79
230.23	-24.54
220.50	+66.26
021.06	+19.45
002.02	-29.40
350.98	-32.74
000.25	+49.17
286.23	+42.19
189.58	+82.96
233.45	+57.65
099.54	+29.95
214.51	-58.39
228.76	+21.61
024.62	-40.24
094.25	-38.81
231.23	+52.53
106.69	-33.72
175.74	-51.18
272.61	+48.59
113.91	-40.05
199.48	-24.96
083.76	+71.57
314.60	+31.91
123.29	-84.49
048.58	-41.00
068.82	-46.09
347.67	-21.53
240.89	-30.58
168.89	-61.98
291.08	+09.82
317.61	-61.47
191.19	-55.55
234.72	-29.05
117.66	-55.91
253.31	+23.24
319.43	+41.36
182.83	-57.23
066.46	+49.94
198.28	-30.69
008.79	+35.03
008.58	+58.97
251.24	+30.98
323.37	+32.81
081.82	-41.28
166.73	+23.29
351.61	-41.76
305.36	+30.66
124.58	-32.11
342.33	-32.15
302.84	+36.35
265.45	-43.45
043.39	+60.62
110.97	+32.15
345.79	-31.34
192.65	+33.19
022.75	+60.47
232.50	-21.98
131.78	-60.37
338.82	-47.38
280.19	-28.26
235.26	-31.07
322.15	+40.67
238.37	-26.81
114.52	+31.24
225.51	-31.23
017.39	+23.99
076.15	-55.95
207.26	-40.62
265.06	+44.96
313.39	+45.48
306.01	-61.09
168.53	+22.83
200.39	-33.00
136.42	-52.52
310.99	+46.20
291.73	+31.82
232.39	+66.58
157.08	+77.59
049.65	+46.30
138.29	-63.10
046.82	-41.93
229.09	+20.36
309.36	-29.43
306.25	+25.13
158.59	-59.36
164.11	-73.01
147.13	-20.50
328.97	+47.61
262.29	-42.59
263.27	-44.89
324.02	-21.51
220.31	-34.26
262.96	-15.68
240.37	+58.57
034.32	+51.54
142.83	-21.78
161.45	+26.14
228.13	+52.74
056.41	+45.73
048.31	+46.02
193.83	-61.32
039.86	+46.52
350.12	-41.37
314.24	+41.13
313.85	+42.53
183.87	-50.00
316.42	+49.76
262.53	+40.66
355.84	-32.97
313.11	+28.21
281.46	+21.25
267.69	+73.61
264.67	+16.27
310.70	+35.20
214.46	+55.05
287.09	+32.27
138.78	+69.65
257.26	-26.88
344.75	-47.38
306.74	+18.42
173.49	-59.06
329.44	-09.81
263.93	-18.10
239.83	-45.62
219.22	-29.98
320.32	-17.53
341.73	+30.43
077.71	+42.33
322.29	+24.63
020.90	-26.11
223.52	-33.80
