Name,RA_deg,Dec_deg,logMbh,sigma_kms,source,theta_dpole,shell_n,shell_delta,hit_5deg
M 31,10.68471,41.26875,8.15,160,McConnell2013,175.092,3,0.858,YES
M 32,10.67427,40.86517,6.73,75,McConnell2013,175.352,3,0.598,YES
NGC 821,32.08807,10.99495,8.0,190,McConnell2013,149.202,3,26.748,no
NGC 1023,40.10006,39.06324,7.62,205,McConnell2013,160.547,3,15.403,no
NGC 1052,40.26999,-8.25576,8.19,215,McConnell2013,128.323,2,11.023,no
M 77,40.66962,-0.01329,6.93,151,McConnell2013,135.487,2,18.187,no
NGC 1194,45.95464,-1.10373,7.81,148,McConnell2013,131.837,2,14.537,no
NGC 1277,49.96452,41.57359,9.7,333,McConnell2013,153.201,3,22.749,no
NGC 1332,51.57217,-21.33537,9.17,328,McConnell2013,111.681,2,5.619,no
NGC 1374,53.81912,-35.22627,8.77,180,McConnell2013,98.657,2,18.643,no
NGC 1399,54.62118,-35.45074,9.0,296,McConnell2013,98.134,2,19.166,no
NGC 1407,55.04960,-18.58038,9.65,276,McConnell2013,112.308,2,4.992,YES
NGC 1550,64.90810,2.40998,9.57,270,McConnell2013,122.441,2,5.141,no
NGC 2748,138.42932,76.47534,7.6,90,McConnell2013,119.685,2,2.385,YES
NGC 2778,138.10156,35.02754,7.83,175,McConnell2013,90.060,2,27.240,no
NGC 2960,145.15159,3.57701,7.06,166,McConnell2013,62.124,1,3.474,YES
M 81,148.88822,69.06530,7.8,143,McConnell2013,112.214,2,5.086,no
NGC 3079,150.49116,55.67985,6.95,150,McConnell2013,100.970,2,16.330,no
NGC 3227,155.87740,19.86508,7.6,133,McConnell2013,68.535,1,9.885,no
NGC 3245,156.82661,28.50739,8.3,215,McConnell2013,75.456,1,16.806,no
NGC 3377,161.92667,13.98564,7.87,145,McConnell2013,60.510,1,1.860,YES
NGC 3379,161.95667,12.58163,8.0,206,McConnell2013,59.281,1,0.631,YES
NGC 3384,162.07036,12.62927,7.25,143,McConnell2013,59.266,1,0.616,YES
NGC 3489,165.07728,13.90117,7.24,101,McConnell2013,58.966,1,0.316,YES
NGC 3608,169.24570,18.14853,8.31,182,McConnell2013,61.081,1,2.431,YES
NGC 3842,176.00898,19.94983,9.97,270,McConnell2013,60.546,1,1.896,YES
NGC 3998,179.48389,55.45359,8.82,305,McConnell2013,94.253,2,23.047,no
NGC 4026,179.85455,50.96165,8.26,180,McConnell2013,89.816,2,27.484,no
NGC 4151,182.63573,39.40585,7.12,97,McConnell2013,78.101,1,19.451,no
M 106,184.74008,47.30372,7.58,115,McConnell2013,85.652,1,27.002,no
NGC 4261,184.84673,5.82492,8.7,315,McConnell2013,44.717,1,13.933,no
NGC 4291,185.07375,75.37096,8.52,242,McConnell2013,113.400,2,3.900,YES
NGC 4339,185.89558,6.08180,7.96,117,McConnell2013,44.768,1,13.882,no
NGC 4342,185.91251,7.05399,8.65,225,McConnell2013,45.722,1,12.928,no
NGC 4350,185.99089,16.69336,8.48,155,McConnell2013,55.215,1,3.435,YES
M 84,186.26560,12.88698,8.71,296,McConnell2013,51.414,1,7.236,no
M 85,186.35022,18.19108,7.99,182,McConnell2013,56.644,1,2.006,YES
NGC 4459,187.25014,13.97856,7.85,167,McConnell2013,52.351,1,6.299,no
M 49,187.44490,8.00040,9.4,300,McConnell2013,46.407,1,12.243,no
NGC 4473,187.45366,13.42932,7.96,190,McConnell2013,51.780,1,6.870,no
M 87,187.70593,12.39112,9.82,375,McConnell2013,50.718,1,7.932,no
NGC 4486B,187.63327,12.49024,8.72,174,McConnell2013,50.826,1,7.824,no
M 89,188.91586,12.55634,8.67,253,McConnell2013,50.737,1,7.913,no
NGC 4564,189.11245,11.43922,7.87,162,McConnell2013,49.606,1,9.044,no
NGC 4596,189.98314,10.17616,7.87,136,McConnell2013,48.261,1,10.389,no
M 59,190.50941,11.64692,8.55,230,McConnell2013,49.678,1,8.972,no
M 60,190.91655,11.55269,9.67,385,McConnell2013,49.552,1,9.098,no
NGC 4697,192.14958,-5.80069,8.23,177,McConnell2013,32.156,1,26.494,no
NGC 4751,193.21146,-42.65987,9.15,360,McConnell2013,5.066,1,53.584,no
NGC 4762,193.23354,11.23080,7.39,144,McConnell2013,49.100,1,9.550,no
NGC 5077,199.88196,-12.65697,8.9,222,McConnell2013,25.516,1,33.134,no
NGC 5128,201.36506,-43.01911,7.73,150,McConnell2013,6.973,1,51.677,no
NGC 5252,204.56613,4.54264,8.15,190,McConnell2013,43.255,1,15.395,no
NGC 5576,215.26538,3.27105,8.14,183,McConnell2013,45.105,1,13.545,no
NGC 5813,225.29679,1.70198,8.83,239,McConnell2013,48.316,1,10.334,no
NGC 5845,226.50326,1.63381,8.41,234,McConnell2013,48.906,1,9.744,no
NGC 5846,226.62189,1.60564,9.04,251,McConnell2013,48.947,1,9.703,no
NGC 6086,243.14807,29.48479,9.57,265,McConnell2013,80.857,1,22.207,no
NGC 6251,248.13321,82.53789,8.78,290,McConnell2013,123.114,2,5.814,no
NGC 6264,254.31720,27.84960,7.57,156,McConnell2013,85.857,1,27.207,no
NGC 7052,319.63768,26.44699,8.61,266,McConnell2013,132.279,2,14.979,no
NGC 7332,339.35224,23.79829,7.12,122,McConnell2013,146.410,2,29.110,no
NGC 7457,345.24969,30.14493,6.86,67,McConnell2013,154.107,3,21.843,no
NGC 7768,357.74395,27.14735,9.1,257,McConnell2013,161.837,3,14.113,no
IC 1459,344.29420,-36.46222,9.39,340,McConnell2013,100.387,2,16.913,no
NGC 315,14.45368,30.35245,9.08,350,McConnell2013,172.491,3,3.459,YES
NGC 3115,151.30803,-7.71861,8.95,278,McConnell2013,49.753,1,8.897,no
Circinus,213.29128,-65.33902,6.23,158,McConnell2013,29.456,1,29.194,no
M 104,189.99763,-11.62305,8.82,240,McConnell2013,26.626,1,32.024,no
NGC 1300,49.92103,-19.41116,7.83,218,McConnell2013,114.120,2,3.180,YES
NGC 404,17.36259,35.71813,5.15,34,KormendyHo2013,177.283,3,1.333,YES
NGC 4246,184.49217,7.18592,7.5,95,KormendyHo2013,46.121,1,12.529,no
NGC 4387,186.42365,12.81050,7.25,100,KormendyHo2013,51.314,1,7.336,no
NGC 4434,186.90282,8.15434,7.54,120,KormendyHo2013,46.641,1,12.009,no
Sgr A*,266.41683,-29.00781,6.61,105,EHT2022,58.653,1,0.003,YES
