Name,RA_deg,Dec_deg,logMbh,sigma_kms,source,theta_dpole,theta_apole,shell_n,shell_delta,hit_5deg,rv_kms,dist_mpc,dist_src
M 31,10.68471,41.26875,8.15,160,McConnell2013,175.092,4.908,3,0.858,YES,,0.79,lit
M 32,10.67427,40.86517,6.73,75,McConnell2013,175.352,4.648,3,0.598,YES,,0.79,lit
NGC 821,32.08807,10.99495,8.0,190,McConnell2013,149.202,30.798,3,26.748,no,,,unknown
NGC 1023,40.10006,39.06324,7.62,205,McConnell2013,160.547,19.453,3,15.403,no,,,unknown
NGC 1052,40.26999,-8.25576,8.19,215,McConnell2013,128.323,51.677,2,11.023,no,,,unknown
M 77,40.66962,-0.01329,6.93,151,McConnell2013,135.487,44.513,2,18.187,no,,14.40,lit
NGC 1194,45.95464,-1.10373,7.81,148,McConnell2013,131.837,48.163,2,14.537,no,,,unknown
NGC 1277,49.96452,41.57359,9.7,333,McConnell2013,153.201,26.799,3,22.749,no,,,unknown
NGC 1332,51.57217,-21.33537,9.17,328,McConnell2013,111.681,68.319,2,5.619,no,,,unknown
NGC 1374,53.81912,-35.22627,8.77,180,McConnell2013,98.657,81.343,2,18.643,no,,,unknown
NGC 1399,54.62118,-35.45074,9.0,296,McConnell2013,98.134,81.866,2,19.166,no,,,unknown
NGC 1407,55.04960,-18.58038,9.65,276,McConnell2013,112.308,67.692,2,4.992,YES,,,unknown
NGC 1550,64.90810,2.40998,9.57,270,McConnell2013,122.441,57.559,2,5.141,no,,,unknown
NGC 2748,138.42932,76.47534,7.6,90,McConnell2013,119.685,60.315,2,2.385,YES,,,unknown
NGC 2778,138.10156,35.02754,7.83,175,McConnell2013,90.060,89.940,2,27.240,no,,,unknown
NGC 2960,145.15159,3.57701,7.06,166,McConnell2013,62.124,117.876,1,3.474,YES,,,unknown
M 81,148.88822,69.06530,7.8,143,McConnell2013,112.214,67.786,2,5.086,no,,3.63,lit
NGC 3079,150.49116,55.67985,6.95,150,McConnell2013,100.970,79.030,2,16.330,no,,,unknown
NGC 3227,155.87740,19.86508,7.6,133,McConnell2013,68.535,111.465,1,9.885,no,,,unknown
NGC 3245,156.82661,28.50739,8.3,215,McConnell2013,75.456,104.544,1,16.806,no,,,unknown
NGC 3377,161.92667,13.98564,7.87,145,McConnell2013,60.510,119.490,1,1.860,YES,,10.90,lit
NGC 3379,161.95667,12.58163,8.0,206,McConnell2013,59.281,120.719,1,0.631,YES,,10.57,lit
NGC 3384,162.07036,12.62927,7.25,143,McConnell2013,59.266,120.734,1,0.616,YES,,10.57,lit
NGC 3489,165.07728,13.90117,7.24,101,McConnell2013,58.966,121.034,1,0.316,YES,,11.70,lit
NGC 3608,169.24570,18.14853,8.31,182,McConnell2013,61.081,118.919,1,2.431,YES,,22.30,lit
NGC 3842,176.00898,19.94983,9.97,270,McConnell2013,60.546,119.454,1,1.896,YES,,,unknown
NGC 3998,179.48389,55.45359,8.82,305,McConnell2013,94.253,85.747,2,23.047,no,,,unknown
NGC 4026,179.85455,50.96165,8.26,180,McConnell2013,89.816,90.184,2,27.484,no,,,unknown
NGC 4151,182.63573,39.40585,7.12,97,McConnell2013,78.101,101.899,1,19.451,no,,,unknown
M 106,184.74008,47.30372,7.58,115,McConnell2013,85.652,94.348,1,27.002,no,,7.60,lit
NGC 4261,184.84673,5.82492,8.7,315,McConnell2013,44.717,135.283,1,13.933,no,,31.60,lit
NGC 4291,185.07375,75.37096,8.52,242,McConnell2013,113.400,66.600,2,3.900,YES,,,unknown
NGC 4339,185.89558,6.08180,7.96,117,McConnell2013,44.768,135.232,1,13.882,no,,16.00,lit
NGC 4342,185.91251,7.05399,8.65,225,McConnell2013,45.722,134.278,1,12.928,no,,16.00,lit
NGC 4350,185.99089,16.69336,8.48,155,McConnell2013,55.215,124.785,1,3.435,YES,,16.80,lit
M 84,186.26560,12.88698,8.71,296,McConnell2013,51.414,128.586,1,7.236,no,,17.93,lit
M 85,186.35022,18.19108,7.99,182,McConnell2013,56.644,123.356,1,2.006,YES,,17.00,lit
NGC 4459,187.25014,13.97856,7.85,167,McConnell2013,52.351,127.649,1,6.299,no,,16.00,lit
M 49,187.44490,8.00040,9.4,300,McConnell2013,46.407,133.593,1,12.243,no,,14.90,lit
NGC 4473,187.45366,13.42932,7.96,190,McConnell2013,51.780,128.220,1,6.870,no,,15.25,lit
M 87,187.70593,12.39112,9.82,375,McConnell2013,50.718,129.282,1,7.932,no,,16.40,lit
NGC 4486B,187.63327,12.49024,8.72,174,McConnell2013,50.826,129.174,1,7.824,no,,16.40,lit
M 89,188.91586,12.55634,8.67,253,McConnell2013,50.737,129.263,1,7.913,no,,15.90,lit
NGC 4564,189.11245,11.43922,7.87,162,McConnell2013,49.606,130.394,1,9.044,no,,15.95,lit
NGC 4596,189.98314,10.17616,7.87,136,McConnell2013,48.261,131.739,1,10.389,no,,16.50,lit
M 59,190.50941,11.64692,8.55,230,McConnell2013,49.678,130.322,1,8.972,no,,16.02,lit
M 60,190.91655,11.55269,9.67,385,McConnell2013,49.552,130.448,1,9.098,no,,17.56,lit
NGC 4697,192.14958,-5.80069,8.23,177,McConnell2013,32.156,147.844,1,26.494,no,,12.54,lit
NGC 4751,193.21146,-42.65987,9.15,360,McConnell2013,5.066,174.934,1,53.584,no,,,unknown
NGC 4762,193.23354,11.23080,7.39,144,McConnell2013,49.100,130.900,1,9.550,no,,22.60,lit
NGC 5077,199.88196,-12.65697,8.9,222,McConnell2013,25.516,154.484,1,33.134,no,,,unknown
NGC 5128,201.36506,-43.01911,7.73,150,McConnell2013,6.973,173.027,1,51.677,no,,3.78,lit
NGC 5252,204.56613,4.54264,8.15,190,McConnell2013,43.255,136.745,1,15.395,no,,,unknown
NGC 5576,215.26538,3.27105,8.14,183,McConnell2013,45.105,134.895,1,13.545,no,,26.00,lit
NGC 5813,225.29679,1.70198,8.83,239,McConnell2013,48.316,131.684,1,10.334,no,,29.90,lit
NGC 5845,226.50326,1.63381,8.41,234,McConnell2013,48.906,131.094,1,9.744,no,,28.70,lit
NGC 5846,226.62189,1.60564,9.04,251,McConnell2013,48.947,131.053,1,9.703,no,,26.30,lit
NGC 6086,243.14807,29.48479,9.57,265,McConnell2013,80.857,99.143,1,22.207,no,,,unknown
NGC 6251,248.13321,82.53789,8.78,290,McConnell2013,123.114,56.886,2,5.814,no,,,unknown
NGC 6264,254.31720,27.84960,7.57,156,McConnell2013,85.857,94.143,1,27.207,no,,,unknown
NGC 7052,319.63768,26.44699,8.61,266,McConnell2013,132.279,47.721,2,14.979,no,,,unknown
NGC 7332,339.35224,23.79829,7.12,122,McConnell2013,146.410,33.590,2,29.110,no,,,unknown
NGC 7457,345.24969,30.14493,6.86,67,McConnell2013,154.107,25.893,3,21.843,no,,,unknown
NGC 7768,357.74395,27.14735,9.1,257,McConnell2013,161.837,18.163,3,14.113,no,,,unknown
IC 1459,344.29420,-36.46222,9.39,340,McConnell2013,100.387,79.613,2,16.913,no,,29.20,lit
NGC 315,14.45368,30.35245,9.08,350,McConnell2013,172.491,7.509,3,3.459,YES,,,unknown
NGC 3115,151.30803,-7.71861,8.95,278,McConnell2013,49.753,130.247,1,8.897,no,,9.68,lit
Circinus,213.29128,-65.33902,6.23,158,McConnell2013,29.456,150.544,1,29.194,no,,4.00,lit
M 104,189.99763,-11.62305,8.82,240,McConnell2013,26.626,153.374,1,32.024,no,,9.55,lit
NGC 1300,49.92103,-19.41116,7.83,218,McConnell2013,114.120,65.880,2,3.180,YES,,,unknown
NGC 404,17.36259,35.71813,5.15,34,KormendyHo2013,177.283,2.717,3,1.333,YES,,3.06,lit
NGC 4246,184.49217,7.18592,7.5,95,KormendyHo2013,46.121,133.879,1,12.529,no,,,unknown
NGC 4387,186.42365,12.81050,7.25,100,KormendyHo2013,51.314,128.686,1,7.336,no,,,unknown
NGC 4434,186.90282,8.15434,7.54,120,KormendyHo2013,46.641,133.359,1,12.009,no,,,unknown
Sgr A*,266.41683,-29.00781,6.61,105,EHT2022,58.653,121.347,1,0.003,YES,,0.01,lit
NGC 307,14.13567,-1.77199,8.31,185,vdBosch2016,140.381,39.619,2,23.081,no,3971.0,56.73,rv
NGC 524,21.19893,9.53891,8.92,237,vdBosch2016,151.200,28.800,3,24.750,no,2420.0,34.57,rv
NGC 1271,49.79705,41.35319,9.43,257,vdBosch2016,153.312,26.688,3,22.638,no,5915.0,84.50,rv
NGC 1281,50.02548,41.62998,8.17,190,vdBosch2016,153.159,26.841,3,22.791,no,4191.0,59.87,rv
NGC 3585,168.32129,-26.75499,8.48,213,vdBosch2016,25.178,154.822,1,33.472,no,1406.0,20.09,rv
NGC 4278,185.02843,29.28076,8.62,258,vdBosch2016,67.790,112.210,1,9.140,no,629.0,8.99,rv
NGC 4371,186.23097,11.70421,7.49,117,vdBosch2016,50.251,129.749,1,8.399,no,940.0,13.43,rv
NGC 4526,188.51262,7.69914,8.65,252,vdBosch2016,45.963,134.037,1,12.687,no,562.0,8.03,rv
NGC 4552,188.91586,12.55634,8.67,260,vdBosch2016,50.737,129.263,1,7.913,no,274.0,3.91,rv
NGC 6861,301.83117,-48.37026,9.31,390,vdBosch2016,72.026,107.974,1,13.376,no,2793.0,39.90,rv
NGC 7049,319.75119,-48.56214,9.1,251,vdBosch2016,80.582,99.418,1,21.932,no,2185.0,31.21,rv
NGC 7619,350.06052,8.20629,9.4,324,vdBosch2016,142.657,37.343,2,25.357,no,3944.0,56.34,rv
NGC 7626,350.17718,8.21706,8.93,272,vdBosch2016,142.730,37.270,2,25.430,no,3390.0,48.43,rv
NGC 4435,186.91876,13.07902,7.8,160,vdBosch2016,51.507,128.493,1,7.143,no,820.0,11.71,rv
NGC 4649,190.91655,11.55269,9.67,385,vdBosch2016,49.552,130.448,1,9.098,no,1015.0,14.50,rv
NGC 4621,190.50941,11.64692,8.55,230,vdBosch2016,49.678,130.322,1,8.972,no,431.0,6.16,rv
UGC 3789,109.87872,59.35513,7.04,68,vdBosch2016,119.676,60.324,2,2.376,YES,3184.5,45.49,rv
NGC 2273,102.53612,60.84580,6.75,144,vdBosch2016,123.626,56.374,2,6.326,no,1848.0,26.40,rv
NGC 4388,186.44508,12.66207,6.93,107,vdBosch2016,51.164,128.836,1,7.486,no,2491.0,35.59,rv
NGC 1275,49.95067,41.51170,8.89,270,vdBosch2016,153.208,26.792,3,22.742,no,4998.0,71.40,rv
NGC 1600,67.91608,-5.08610,10.23,348,vdBosch2016,114.994,65.006,2,2.306,YES,4706.0,67.23,rv
NGC 4889,195.03374,27.97703,10.32,347,vdBosch2016,65.811,114.189,1,7.161,no,6376.0,91.09,rv
