Name,RA_deg,Dec_deg,logMbh,source,theta_dpole,theta_apole
1RXS J185800.9+485020,284.50463,48.83983,6.68,Thomas2016,117.07673980668432,62.923260193315684
H0507+164,77.68975,16.49949,6.69,Thomas2016,121.62619991563352,58.37380008436648
NAME M60-UCD1,190.89985,11.53464,7.3,Thomas2016,49.534954102841375,130.46504589715863
Mrk0006,103.05135,74.42701,8.09,Thomas2016,126.79279952351968,53.207200476480324
Mrk0142,156.38038,51.67636,6.27,Thomas2016,95.72749335651852,84.27250664348148
Mrk0290,233.96842,57.90264,7.26,Thomas2016,101.08455228228352,78.91544771771648
Mrk0335,1.58159,20.20294,7.21,Thomas2016,158.76306776140308,21.23693223859692
Mrk1029,34.26489,5.29195,6.28,Thomas2016,143.13121046457508,36.86878953542492
Mrk1501,2.62919,10.97486,8.03,Thomas2016,150.86089433352623,29.139105666473768
NGC0224,10.68471,41.26875,8.15,Thomas2016,175.09241491028942,4.9075850897105795
NGC0300,13.72283,-37.68438,2.0,Thomas2016,104.46923413185914,75.53076586814086
NGC4244,184.37358,37.80711,0.0,Thomas2016,76.30055516882241,103.69944483117759
NGC4395,186.45384,33.54675,5.54,Thomas2016,71.8459051488419,108.1540948511581
NGC6264,254.31712,27.84964,7.49,Thomas2016,85.85724274716875,94.14275725283125
NGC7793,359.45761,-32.59103,3.7,Thomas2016,108.05830877688938,71.94169122311062
PG0026+129,7.30709,13.26775,8.46,Thomas2016,154.4410106014688,25.558989398531196
PG0052+251,13.71721,25.42748,8.44,Thomas2016,167.5275675301217,12.4724324698783
PG0804+761,122.74445,76.04513,8.72,Thomas2016,122.54456344504007,57.45543655495993
PG0953+414,149.2183,41.25616,8.31,Thomas2016,89.54911120612401,90.45088879387599
PG1226+023,187.2779,2.05241,8.81,Thomas2016,40.55982780746302,139.44017219253698
PG1229+204,188.0151,20.15831,7.72,Thomas2016,58.38795862958081,121.61204137041919
PG1307+085,197.44583,8.33007,8.49,Thomas2016,46.20989441225998,133.79010558774002
PG1411+442,213.45137,44.00391,8.5,Thomas2016,83.48267743718746,96.51732256281254
PG1426+015,217.27731,1.28513,8.96,Thomas2016,44.10092230317374,135.89907769682625
PG1613+658,243.48836,65.71963,8.27,Thomas2016,110.05253550324477,69.94746449675523
PG1617+175,245.047,17.40767,8.63,Thomas2016,72.37486148823696,107.62513851176304
PG1700+518,255.35342,51.82233,8.76,Thomas2016,103.82588408683954,76.17411591316046
PG2130+099,323.1159,10.13869,7.41,Thomas2016,125.82955659131665,54.170443408683354
Z 229-015,286.35803,42.46107,6.88,Thomas2016,115.18369467462571,64.81630532537429
NGC3227,155.87737,19.86508,6.75,Thomas2016,68.53540076606954,111.46459923393046
