Name,RA_deg,Dec_deg,Type,D_Mpc,L9Lsun,MHI,Vflat,theta_dpole
UGC00128,13.93,-0.992,Sd,64.6,3.89,9.9,132.9,141.16
UGC00191,14.8,-8.375,Sm,15.1,0.126,0.82,66.1,133.79
NGC0055,3.722,-39.196,SBm,1.94,1.32,2.24,83.7,102.25
NGC0247,11.785,-20.757,SABd,3.65,1.54,3.3,100.1,121.32
NGC0253,11.888,-25.288,SABc,3.94,29.0,5.4,200.5,116.80
NGC0300,13.723,-37.684,Scd,2.08,1.02,2.28,87.3,104.47
NGC0801,31.022,22.383,Sc,79.9,48.8,20.0,222.3,159.44
NGC0925,36.82,33.579,SABd,9.16,4.93,10.1,115.5,162.01
NGC2366,112.512,69.214,IBm,3.27,0.063,0.74,55.7,122.54
NGC2403,114.214,65.603,SABcd,3.18,7.34,7.18,132.5,120.51
NGC2841,140.511,50.977,Sb,14.1,41.9,12.8,286.5,100.91
NGC2903,143.042,21.501,SABbc,8.87,24.8,10.7,201.0,76.96
NGC2976,146.815,67.885,Sc,3.56,0.757,0.287,79.4,111.77
NGC3109,150.777,-26.16,Sm,1.33,0.129,0.769,68.0,39.07
NGC3198,154.978,45.55,SBc,13.8,11.4,16.3,150.0,90.90
NGC3521,166.453,-0.036,SABbc,10.7,32.0,16.0,229.1,46.16
NGC3726,173.329,47.029,SABc,17.0,10.2,9.0,150.7,87.09
NGC3741,174.057,45.288,IBm,3.21,0.014,0.36,53.3,85.28
NGC3877,176.519,47.494,Sc,17.7,10.9,2.74,159.1,86.95
NGC3893,177.217,48.713,SABc,18.1,14.3,7.64,162.1,88.01
NGC3949,177.659,47.863,Sbc,19.1,9.85,4.87,153.8,87.12
NGC3953,178.452,52.326,SBbc,17.0,24.1,5.92,214.9,91.34
NGC3972,178.937,55.32,Sbc,18.6,7.37,3.9,143.6,94.19
NGC3992,179.395,53.37,SBbc,21.8,46.8,23.8,220.8,92.23
NGC4010,179.656,47.261,SBd,17.5,2.56,3.95,105.2,86.23
NGC4013,179.631,43.947,Sb,16.0,14.6,6.35,182.2,82.99
NGC4051,180.79,44.531,SABbc,10.0,5.07,1.47,128.6,83.39
NGC4088,181.401,50.536,SABc,15.8,17.4,9.99,169.1,89.20
NGC4100,181.537,49.574,Sbc,19.5,16.3,6.67,181.2,88.24
NGC4138,182.354,43.686,S0a,17.0,7.83,3.28,148.4,82.35
NGC4157,182.762,50.487,Sb,15.6,15.9,11.7,188.5,89.00
NGC4183,183.188,43.698,Scd,16.7,3.67,6.64,104.8,82.26
NGC4217,183.912,47.094,Sb,19.6,16.3,7.87,184.8,85.53
NGC4389,186.018,45.675,SBbc,15.3,2.18,2.02,104.6,83.92
NGC4559,188.0,27.958,SABcd,10.0,5.97,11.5,118.5,66.14
NGC5005,197.734,37.059,SABbc,21.3,62.5,9.82,230.1,74.93
NGC5033,198.365,36.594,Sc,18.7,28.3,17.2,216.7,74.48
NGC5055,198.955,42.029,Sbc,10.1,33.8,22.1,182.5,79.93
NGC5371,208.901,40.459,SABbc,35.3,65.5,8.73,243.0,79.29
NGC5585,215.398,56.724,SABcd,8.74,1.5,6.19,92.0,96.09
NGC5907,228.973,56.329,Sc,17.0,31.8,24.0,228.0,98.41
NGC6015,238.844,62.307,Scd,17.0,10.0,7.39,152.1,106.10
NGC6503,267.979,70.145,Scd,5.27,3.4,5.48,121.2,119.82
NGC6946,308.718,60.154,SABcd,5.89,27.3,20.4,200.0,133.52
NGC7331,339.267,34.415,Sbc,14.7,77.1,28.4,259.0,150.93
NGC7793,359.458,-32.591,SAd,3.61,2.0,3.23,104.5,108.06
