name,source,ra,dec,l,b,theta_D,d_mpc,R_Thales
Antlia,CF3,151.01666666666665,-27.331944444444446,263.09733454071943,22.311378598366556,38.32650983038218,1.34,1.7081171355668059
NGC003109,CF3,150.77875,-26.159444444444443,262.1016188652209,23.07032757240554,39.06455466288516,1.37,1.7644715876689538
IC3104,CF3,184.69208333333336,-79.72583333333334,301.4140107354755,-16.95049627833638,42.09577589116571,2.36,3.1804846929884834
LEDA,CF2,208.63958333333332,4.2444444444444445,339.0453133319922,62.6038004695096,43.88205123596473,2.6,3.607261887798253
ESO269-37,CF3,195.88833333333335,-46.586666666666666,305.0994720015423,16.234087672013615,8.766405345781795,3.15,3.1872335398991636
ES274-001,CF3,228.55583333333334,-46.80888888888889,326.80566492419507,9.337365115821317,25.98875097586865,3.16,3.515485564626032
ESO383-87,CF3,207.32291666666666,-36.06333333333333,315.84185026631513,25.35387029936005,9.815555054821587,3.19,3.2373900403511815
NGC5206,CF3,203.43375,-48.151111111111106,310.18478458937915,14.124093722858516,11.918591299543992,3.21,3.2807258062826277
ESO321-014,CF3,183.45708333333332,-38.23083333333334,294.8534978170455,24.050252220039695,9.277563529414248,3.28,3.3234746267430553
NGC5237,CF3,204.4129166666667,-42.84666666666667,311.87832582177896,19.220856681960154,8.599346254543509,3.33,3.367861202014453
ESO325-11,CF3,206.25416666666666,-41.85944444444445,313.50577056138394,19.909607221298607,9.360945874980665,3.4,3.4458879974386956
LEDA,CF2,191.89083333333335,-77.5826111111111,302.71657916425727,-14.712481170956098,39.77485724007826,3.47,4.514911499913612
KK217,CF3,206.57125000000002,-45.68472222222222,312.85812619815465,16.127283435239807,11.519214197123306,3.5,3.5719468999818544
NGC5253,CF3,204.98333333333335,-31.64,314.86038670533446,30.105982612675287,10.117419355942577,3.55,3.60607512234208
PGC51659,CF3,217.015,-46.305,319.82417943409956,13.373459827128988,18.170266279454296,3.61,3.7994640347344415
NGC5128,CF3,201.3670833333333,-43.018055555555556,309.51760317436157,19.418113972083592,6.973395597523329,3.66,3.6872761356525623
LEDA,CF2,207.03833333333336,-47.56494444444444,312.74922794306514,14.222801915807075,13.007965331054024,3.66,3.756393634475051
KK211,CF3,205.52374999999998,-45.205000000000005,312.21513004000604,16.751699835766413,10.647143123253885,3.68,3.744465996839795
NGC004945,CF3,196.36375,-49.467777777777776,305.2716046060775,13.340284095013805,11.662524581173493,3.72,3.7984174231947536
NGC5011C,CF3,198.29833333333335,-43.264722222222225,307.12908505827426,19.429661671311752,5.908387770654066,3.73,3.7499204842469234
NGC5102,CF3,200.49,-36.63,309.7314986921407,25.838443922917385,4.3546402361878895,3.73,3.7407990266317124
ESO269-058,CF3,197.63708333333335,-46.99194444444444,306.31596758628905,15.754199090973733,9.327484173302297,3.75,3.800246543447207
ESO269-66,CF3,198.28666666666666,-44.89,306.96775775257606,17.811567996690794,7.417774001060831,3.75,3.7816480057253528
KK213,CF3,205.90125,-43.76916666666666,312.8035567020351,18.10038714628681,10.008972226932896,3.77,3.8282640794154865
ESO324-24,CF3,201.91,-41.47805555555556,310.1785938000344,20.883737600218367,6.298357172638182,3.78,3.80295424609317
KK221,CF3,207.19333333333333,-46.99638888888889,312.98794684224697,14.752794907026875,12.697102511527785,3.82,3.9157572574599153
KK197,CF3,200.5079166666667,-42.53472222222222,308.92188969938894,19.98092378863155,6.189358430202116,3.84,3.862514575863441
LEDA,CF2,205.40875,-42.58197222222223,312.69350658827665,19.33632677003901,9.097648352831996,3.84,3.8889214757683352
LEDA,CF2,200.5525,-42.72863888888889,308.93044099241536,19.784417027816335,6.355651192914812,3.85,3.8738088083583944
KK196,CF3,200.44625,-45.06222222222222,308.5427071417821,17.478662956658802,8.212852758847047,3.96,4.001033757760091
LEDA,CF2,203.695,-45.547333333333334,310.8305518247136,16.658654292683778,9.959740613854406,4.15,4.213499436592304
KK189,CF3,198.18833333333333,-41.831944444444446,307.1788601572267,20.86396798020508,4.596812554433575,4.23,4.243650386844992
IC4316,CF3,205.07625,-28.894166666666667,315.66014769533604,32.76691989914793,12.129941623690671,4.35,4.449337871462414
LEDA,CF2,205.40291666666667,-29.91272222222222,315.7162827838746,31.71042257765831,11.563545294546874,4.45,4.542192944358018
ESO384-016,CF3,209.25583333333333,-35.33277777777778,317.7324132271703,25.646941519374924,11.522646466705414,4.49,4.58235354694164
DEP1337-33,CF3,204.25125,-33.362500000000004,313.7565585335513,28.54965690886509,8.582425566228743,4.55,4.601526970574939
NGC5236,CF3,204.25375,-29.865555555555556,314.58354081121934,31.972918122194336,10.925660715202632,4.66,4.746026837545451
KK200,CF3,201.15,-30.971666666666664,311.25704286463065,31.363445582438597,8.417062647300321,4.76,4.811829244143854
NGC5264,CF3,205.40291666666667,-29.912499999999998,315.71634213421464,31.710638988046668,11.563704926294205,4.79,4.889239686821516
KK218,CF3,206.6654166666667,-29.978888888888886,316.9445934185304,31.385776377378242,12.300523207956383,4.94,5.056068995331676
KK208,CF3,204.14791666666665,-29.57111111111111,314.5492052156648,32.280001234593406,11.09145184996108,5.01,5.1053611203911995
HIP1337-39,CF3,204.35625000000002,-39.88861111111111,312.4347851790638,22.133062518333222,7.391466436907044,5.08,5.122566819113715
IC4247,CF3,201.685,-30.3625,311.90221002947374,31.893612108047158,9.179264846848554,5.18,5.247195262969457
NGC5408,CF3,210.83833333333334,-41.37638888888889,317.1558545284809,19.500554092089022,12.51431048444859,5.32,5.44946893184838
ESO444-78,CF3,204.12833333333333,-29.235277777777778,314.6115070754433,32.61213199229535,11.34191374001473,5.42,5.527955130875582
LEDA,CF2,195.82000000000002,-17.42288888888889,306.9532329105193,45.356377944934856,20.417238001978625,5.42,5.783325414574676
ESO379-07,CF3,178.68,-33.558611111111105,289.5849338137927,27.838880899703817,14.083468319374338,5.45,5.618891136841604
ESO381-018,CF3,191.17708333333331,-35.96638888888889,301.40527638942314,26.885412356492175,3.7418584653671383,5.45,5.4616430940138265
ESO381-20,CF3,191.5016666666667,-33.838055555555556,301.64218359902657,29.020093005913413,5.010346181104633,5.47,5.4909813488295365
ESO215-09,CF3,164.37499999999997,-48.183611111111105,284.06512321826665,10.470250669250902,24.6069347804543,5.47,6.016372554074119
HIP1133-32,CF3,173.29583333333335,-32.96222222222222,284.5350456150334,27.098619615779203,18.484759491864615,5.6,5.904631613946599
LEDA,CF2,207.13958333333332,-37.968111111111114,315.1780152385859,23.541563693599443,9.389894390503322,5.65,5.72673276103655
LEDA,CF2,207.82874999999999,-46.9735,313.42931742739563,14.674165860657686,13.009378502218613,5.73,5.880944856353361
PG0045084,CF3,195.82000000000002,-17.422777777777778,306.9532432538633,45.35648881807028,20.417349083179545,5.78,6.167462180831839
ESO137-18,CF3,245.24625,-60.487500000000004,326.10583406181206,-7.4256184922841495,38.39015441952264,5.86,7.476395300016651
