RAJ2000,DEJ2000
6.286E-4,35.5178439
6.575E-4,-20.074344
0.001025,-78.534492
0.0014146,31.0570479
0.0014297,-41.4929974
0.0015265,27.7322834
0.0015354,7.0641294
0.0018983,17.7737392
0.0019186,9.3856563
0.0019784,-0.4510884
0.0021174,-55.3604489
0.0023755,5.9419031
0.0025788,31.3289781
0.0027644,14.9746807
0.0030165,30.9662772
0.0030791,-13.9569382
0.0031742,5.2627357
0.0032493,11.7076422
0.0034588,-21.2979373
0.0036467,-57.9750214
0.0037807,1.28156
0.0040756,4.8297891
0.0042343,8.072944
0.0045285,29.8736184
0.0050258,24.0651626
0.0050426,13.3037501
0.0051415,36.0948733
0.0052954,7.0246577
0.0053239,-2.0332551
0.0055688,11.3416119
0.0057075,-30.6074297
0.0057181,-1.325006
0.0059063,20.0122631
0.0061322,29.0019782
0.006147,21.2767149
0.0063954,-45.9152943
0.0064636,-0.5590659
0.0065127,20.5031984
0.0065242,-39.0627007
0.0066656,-25.2852451
0.0068134,-42.9596377
0.0068188,30.5193562
0.0068554,0.5831839
0.0069916,-42.0748663
0.0072223,0.6401667
0.0072754,-31.3738125
0.0073424,-4.0309488
0.0074036,-7.4859053
0.0074421,-64.2470199
0.0075871,14.1973825
0.0077255,14.024503
0.007879,-9.7811013
0.0078889,-32.2206945
0.0078956,44.514945
0.0080613,-0.2409634
0.0081458,5.3524372
0.0085631,34.6786823
0.0085957,19.4048968
0.0086882,27.4523709
0.0089611,15.2546542
0.009125,-2.3297799
0.0092103,11.6968604
0.0094881,0.6275587
0.0095124,-32.0246628
0.0097223,-37.1320834
0.0098178,22.11055
0.0098334,-47.5743889
0.0098522,21.6055558
0.0099986,-58.8651667
0.0102961,21.8275863
0.0104307,2.3052535
0.0106307,-32.258663
0.0109913,28.3331769
0.0111783,-25.1936023
0.011875,-31.7948056
0.0120579,9.9502336
0.0120672,3.4292421
0.0121789,27.984543
0.0121868,-35.0590578
0.0121906,-5.3277633
0.0123075,19.826178
0.0124326,22.9461067
0.0130201,-13.8668803
0.0132138,-64.3027411
0.013229,1.2529672
0.0132702,5.1395551
0.0133261,-7.684978
0.0133287,1.5049801
0.0134854,11.5219784
0.0136092,-59.7963073
0.0136303,0.1924487
0.0137005,10.9623942
0.0137499,-2.911118
0.0138215,-55.539177
0.0143906,16.048226
0.0145391,26.2944046
0.0147105,30.570384
0.0148807,-13.8083083
0.0149838,3.9052808
0.0150176,44.4865477
0.0150765,34.7941558
0.015131,-68.02566
0.0152337,4.2489774
0.0158425,-22.0125529
