RAJ2000,DEJ2000,z
197.389,19.6361,0.045
215.363,45.833,0.055
142.379,17.0212,0.06
154.777,31.183,0.065
217.801,8.4892,0.07
135.997,22.2747,0.07
158.173,22.6359,0.0725
186.52,52.489,0.075
202.663,51.109,0.0775
234.775,21.0329,0.0775
175.465,44.602,0.08
245.625,32.576,0.08
233.829,43.179,0.0825
200.995,26.4868,0.0825
157.783,54.384,0.085
144.892,17.6372,0.085
191.928,42.33,0.0875
154.23,24.1352,0.0875
178.544,17.2228,0.0875
239.628,12.8591,0.0875
217.076,37.818,0.09
139.698,32.799,0.09
205.997,6.8914,0.09
162.423,30.31,0.09
136.321,24.46,0.09
186.257,22.5313,0.09
209.516,20.7059,0.09
124.72,43.775,0.0925
144.619,52.949,0.0925
211.095,52.114,0.0925
230.83,37.13,0.0925
194.754,14.716,0.0925
174.071,33.684,0.0925
208.737,30.0585,0.0925
231.217,50.067,0.095
169.955,12.013,0.095
138.438,44.439,0.0975
223.73,42.898,0.0975
193.673,27.3407,0.0975
145.223,24.1405,0.0975
201.087,19.2293,0.0975
195.799,4.868,0.1
205.475,45.748,0.1
135.051,9.845,0.1
203.07,34.795,0.1
142.785,15.1658,0.1
231.232,16.2831,0.1
37.8618,-5.0805,0.55
34.712,-4.3632,0.5508
36.918,-4.832,0.5511
30.3598,-4.9144,0.5522
32.8733,-4.7494,0.5545
38.1792,-4.3673,0.5573
33.7292,-5.2396,0.5592
36.2588,-4.7768,0.5601
37.6147,-4.9668,0.561
34.7082,-4.6684,0.5622
35.5006,-5.1586,0.558
33.6532,-4.3712,0.5636
30.3783,-5.1528,0.568
38.466,-5.1499,0.5732
37.9259,-4.5107,0.5743
31.8305,-4.83,0.5745
30.9943,-4.4637,0.5878
33.2973,-4.3787,0.576
31.5837,-5.1299,0.5606
32.974,-5.2293,0.5739
30.3522,-4.6177,0.5767
37.407,-4.9605,0.5833
32.8899,-5.1968,0.5833
31.7586,-5.2191,0.5895
36.3797,-5.0612,0.5938
35.8023,-4.6163,0.5708
35.167,-4.7508,0.5906
34.0741,-5.1421,0.5875
36.9689,-4.7235,0.5737
34.6769,-5.015,0.5777
37.4161,-4.7254,0.5997
38.5026,-4.6475,0.5939
33.2428,-4.7257,0.6041
31.6109,-4.42,0.6042
32.0459,-5.2097,0.6045
30.7988,-5.133,0.605
34.5675,-4.6252,0.6108
35.6312,-4.8527,0.6087
